dep,dur,mem,jour,temp,prec,pointe
5/4/2021 8:55,2035,0,mardi,11.7,0,1
5/25/2021 8:17,1029,0,mardi,19.7,0.5,1
5/18/2021 9:25,311,0,mardi,20,0,1
5/25/2021 8:53,464,0,mardi,19.7,0.5,1
5/25/2021 20:28,2620,0,mardi,19.7,0.5,3
5/18/2021 10:34,1337,0,mardi,20,0,3
5/25/2021 14:49,544,0,mardi,19.7,0.5,3
5/11/2021 13:30,709,0,mardi,9.8,0,3
5/11/2021 12:29,504,0,mardi,9.8,0,3
5/25/2021 18:47,483,0,mardi,19.7,0.5,2
5/25/2021 17:13,375,0,mardi,19.7,0.5,2
5/25/2021 17:08,704,0,mardi,19.7,0.5,2
5/25/2021 17:08,1971,0,mardi,19.7,0.5,2
5/11/2021 16:35,993,0,mardi,9.8,0,2
6/15/2021 7:38,1251,0,mardi,17.9,0,1
6/15/2021 9:39,514,0,mardi,17.9,0,1
6/8/2021 7:07,363,0,mardi,26.3,0,1
6/29/2021 8:31,308,0,mardi,25.6,0,1
6/1/2021 9:30,375,0,mardi,19.3,1.4,1
6/8/2021 22:55,548,0,mardi,26.3,0,3
6/29/2021 23:01,3236,0,mardi,25.6,0,3
6/15/2021 19:48,2035,0,mardi,17.9,0,3
6/15/2021 14:01,1777,0,mardi,17.9,0,3
6/29/2021 19:41,1074,0,mardi,25.6,0,3
6/29/2021 18:53,2646,0,mardi,25.6,0,2
6/1/2021 17:30,1657,0,mardi,19.3,1.4,2
6/22/2021 17:48,1160,0,mardi,15.5,0.2,2
6/8/2021 17:25,1117,0,mardi,26.3,0,2
6/29/2021 16:02,1137,0,mardi,25.6,0,2
7/27/2021 8:58,577,0,mardi,19,1.4,1
7/27/2021 8:40,571,0,mardi,19,1.4,1
7/6/2021 7:50,285,0,mardi,23.1,1.2,1
7/27/2021 9:33,944,0,mardi,19,1.4,1
7/27/2021 8:40,679,0,mardi,19,1.4,1
7/20/2021 23:11,593,0,mardi,21.2,9.6,3
7/13/2021 10:08,922,0,mardi,23.2,5.8,3
